epoch,mAP_50:95,AP_50,AP_75,train_loss,val_loss,train_loss_box_reg,val_loss_box_reg,lr,duration_s
1,0.0062,0.0437,0.0000,1.5300,1.6491,0.2918,0.3987,0.000010,68.28
2,0.0828,0.2458,0.0064,1.6511,1.7224,0.6462,0.8362,0.000208,67.52
3,0.1201,0.4582,0.0561,1.4936,1.5592,0.7919,0.8089,0.000406,67.38
4,0.1871,0.5172,0.0925,1.2922,1.4734,0.6947,0.7010,0.000604,66.99
5,0.1357,0.5140,0.0245,1.1462,1.4698,0.6253,0.7199,0.000802,66.02
6,0.2747,0.7532,0.1233,1.0232,1.0820,0.5643,0.5754,0.001000,65.29
7,0.3134,0.8116,0.1210,0.8885,1.0563,0.4961,0.5523,0.001000,65.97
8,0.3967,0.9787,0.2061,0.8726,0.9336,0.4878,0.4768,0.000999,65.65
9,0.4121,0.8915,0.3197,0.8213,0.8294,0.4622,0.4595,0.000998,65.42
10,0.5236,0.9858,0.4487,0.8263,0.7454,0.4703,0.4115,0.000997,65.85
11,0.4470,0.9832,0.2424,0.7989,0.9485,0.4518,0.5035,0.000995,65.90
12,0.4574,0.9712,0.3833,0.7868,0.9450,0.4481,0.4943,0.000993,65.83
13,0.3303,0.8775,0.0509,0.7560,1.0811,0.4323,0.5633,0.000991,65.79
14,0.4232,0.9872,0.2222,0.7549,0.8008,0.4238,0.4398,0.000988,65.77
15,0.5920,0.9969,0.6378,0.7186,0.7382,0.4088,0.4094,0.000985,65.91
16,0.5857,0.9956,0.5263,0.7221,0.7230,0.4117,0.4076,0.000981,65.49
17,0.5092,0.9978,0.4444,0.7128,0.8803,0.4055,0.4933,0.000978,65.36
18,0.5899,0.9997,0.6575,0.7099,0.6866,0.4022,0.3736,0.000973,65.52
19,0.4929,0.9932,0.3270,0.6992,0.8068,0.3971,0.4404,0.000969,65.59
20,0.6307,1.0000,0.7421,0.6591,0.7194,0.3748,0.3935,0.000964,65.58
21,0.6056,0.9993,0.7133,0.6584,0.6469,0.3724,0.3767,0.000959,65.63
22,0.6072,1.0000,0.6778,0.6463,0.6452,0.3689,0.3605,0.000953,65.68
23,0.5276,0.9983,0.6104,0.6253,0.7323,0.3577,0.4111,0.000947,65.45
24,0.4081,0.9802,0.0844,0.6454,0.9676,0.3679,0.5260,0.000941,65.50
25,0.5667,0.9802,0.6815,0.6423,0.6616,0.3662,0.3798,0.000934,65.23
26,0.4628,0.9972,0.3138,0.6399,0.8066,0.3648,0.4502,0.000927,65.22
27,0.6472,1.0000,0.7541,0.6148,0.5481,0.3487,0.3153,0.000920,65.56
28,0.4584,0.9997,0.3350,0.6194,0.7828,0.3533,0.4388,0.000912,65.34
