Epoch,mAP_50:95,AP_50
1,0.0926,0.3259
2,0.3066,0.7665
3,0.3690,0.8901
4,0.4954,0.9296
5,0.4013,0.9073
6,0.5262,0.9579
7,0.5337,0.9699
8,0.5303,0.9808
9,0.5342,0.9718
10,0.5728,0.9775
11,0.5587,0.9761
12,0.6132,0.9872
13,0.6407,0.9871
14,0.6492,0.9890
15,0.6385,0.9791
16,0.6528,0.9891
17,0.7021,0.9997
18,0.6859,0.9795
19,0.6938,0.9891
20,0.7110,0.9891
21,0.6859,0.9893
22,0.7175,0.9789
23,0.7212,0.9999
24,0.7098,0.9891
25,0.7131,0.9890
26,0.7070,0.9894
27,0.7064,0.9887
28,0.7367,0.9883
29,0.7267,0.9890
30,0.7394,0.9884
31,0.7534,0.9890
32,0.7582,0.9887
33,0.7549,0.9890
34,0.7577,0.9889
35,0.7575,0.9890
36,0.7644,0.9890
37,0.7605,0.9890
38,0.7674,0.9889
39,0.7704,0.9890
40,0.7702,0.9890
