epoch,mAP_50:95,AP_50,AP_75,train_loss,val_loss,train_loss_box_reg,val_loss_box_reg,lr,duration_s
1,0.0210,0.0562,0.0234,1.5373,1.6505,0.2932,0.4014,0.000010,68.47
2,0.0908,0.2582,0.0025,1.7007,1.6311,0.6434,0.8231,0.000208,67.57
3,0.1496,0.4158,0.0510,1.5498,1.6094,0.8103,0.7954,0.000406,67.64
4,0.2268,0.5439,0.1746,1.3239,1.2692,0.7109,0.6481,0.000604,67.06
5,0.2448,0.6624,0.0847,1.1807,1.1424,0.6375,0.6075,0.000802,66.75
6,0.2927,0.6815,0.1647,1.0669,1.2045,0.5847,0.6070,0.001000,66.68
7,0.3107,0.8102,0.0756,1.0008,1.1001,0.5548,0.5969,0.001000,65.97
8,0.3440,0.8684,0.1300,0.9737,0.9804,0.5390,0.5252,0.001000,65.95
9,0.3892,0.9085,0.2938,0.9047,0.9258,0.5072,0.5214,0.000999,66.18
10,0.4361,0.8963,0.4265,0.8765,0.8437,0.4911,0.4498,0.000998,65.76
11,0.4600,0.8904,0.3204,0.8631,0.9237,0.4861,0.5060,0.000997,65.95
12,0.3052,0.8200,0.1504,0.8170,0.9749,0.4594,0.5285,0.000996,65.51
13,0.4417,0.9376,0.3875,0.8215,0.9082,0.4618,0.5118,0.000994,65.41
14,0.5034,0.9192,0.5279,0.7908,0.6907,0.4434,0.3945,0.000993,65.36
15,0.5028,0.9167,0.5017,0.7792,0.7660,0.4363,0.4258,0.000991,65.57
16,0.4046,0.9016,0.2251,0.7685,0.8931,0.4334,0.4878,0.000988,65.79
17,0.4706,0.9702,0.3508,0.7400,0.8431,0.4192,0.4616,0.000986,65.87
18,0.5198,0.9783,0.5627,0.7505,0.6426,0.4207,0.3631,0.000983,65.92
19,0.5564,0.9564,0.5302,0.7236,0.7183,0.4105,0.3912,0.000980,65.82
20,0.5843,0.9997,0.5833,0.7016,0.5919,0.3932,0.3331,0.000977,65.94
21,0.5782,1.0000,0.6879,0.7099,0.6051,0.4000,0.3387,0.000974,65.62
22,0.5907,0.9952,0.6161,0.7155,0.6024,0.4003,0.3479,0.000970,65.57
23,0.5907,0.9941,0.6416,0.7043,0.6506,0.3961,0.3723,0.000966,65.55
24,0.5506,0.9939,0.4701,0.6832,0.6896,0.3861,0.3732,0.000962,65.57
25,0.6250,1.0000,0.6877,0.6679,0.5788,0.3736,0.3229,0.000958,65.66
26,0.6169,1.0000,0.6324,0.6682,0.5718,0.3772,0.3235,0.000954,65.48
27,0.5572,0.9993,0.5722,0.6737,0.6024,0.3767,0.3411,0.000949,65.40
28,0.5981,0.9802,0.6529,0.6688,0.5683,0.3770,0.3154,0.000944,65.51
29,0.6044,0.9979,0.6732,0.6490,0.7328,0.3653,0.3947,0.000939,65.54
30,0.5089,1.0000,0.4614,0.6413,0.7327,0.3629,0.3949,0.000934,65.51
31,0.6507,0.9997,0.7195,0.6127,0.5479,0.3464,0.3080,0.000928,65.70
32,0.6091,0.9937,0.7070,0.6152,0.6157,0.3480,0.3347,0.000923,65.69
33,0.6129,1.0000,0.6661,0.6326,0.6110,0.3525,0.3342,0.000917,65.24
34,0.5453,1.0000,0.5281,0.5996,0.6496,0.3350,0.3616,0.000911,65.58
35,0.5775,0.9993,0.6137,0.6269,0.6574,0.3536,0.3646,0.000905,65.50
36,0.7065,1.0000,0.8595,0.6100,0.6169,0.3448,0.3538,0.000898,65.50
37,0.6715,0.9990,0.8695,0.6114,0.5157,0.3450,0.2922,0.000891,65.59
38,0.6294,0.9981,0.7335,0.6352,0.5837,0.3599,0.3074,0.000885,65.41
39,0.6632,0.9981,0.8607,0.6201,0.5596,0.3500,0.3077,0.000878,65.32
40,0.5386,0.9802,0.5199,0.6032,0.6445,0.3400,0.3440,0.000870,65.55
41,0.5977,0.9762,0.7910,0.5777,0.6043,0.3277,0.3309,0.000863,65.69
42,0.6005,0.9993,0.7374,0.6239,0.5382,0.3516,0.3093,0.000855,65.52
43,0.6622,1.0000,0.7981,0.5615,0.5947,0.3171,0.3313,0.000848,65.57
44,0.6171,0.9993,0.7513,0.5880,0.5377,0.3318,0.2993,0.000840,65.50
45,0.6344,0.9993,0.7903,0.5686,0.5296,0.3204,0.3039,0.000832,65.44
46,0.5494,1.0000,0.5688,0.5823,0.5972,0.3319,0.3424,0.000824,65.20
47,0.5867,0.9780,0.6732,0.5625,0.6410,0.3184,0.3479,0.000815,65.63
48,0.6209,0.9993,0.7726,0.5520,0.5084,0.3116,0.2812,0.000807,65.27
49,0.6667,1.0000,0.8594,0.5516,0.5360,0.3119,0.3041,0.000798,65.48
50,0.5950,1.0000,0.6594,0.5518,0.5518,0.3128,0.3090,0.000789,65.27
51,0.6074,0.9795,0.8146,0.5374,0.4626,0.3020,0.2662,0.000781,65.68
52,0.5906,0.9997,0.6661,0.5457,0.5981,0.3111,0.3373,0.000772,65.37
53,0.6201,0.9971,0.7253,0.5509,0.5637,0.3139,0.3150,0.000762,65.47
54,0.6564,1.0000,0.8853,0.5344,0.4813,0.3041,0.2703,0.000753,65.59
55,0.6339,0.9799,0.7792,0.5264,0.4950,0.2955,0.2709,0.000744,65.52
56,0.6894,1.0000,0.8651,0.5053,0.4612,0.2865,0.2597,0.000734,65.60
57,0.6883,1.0000,0.9110,0.5467,0.4710,0.3067,0.2572,0.000725,65.59
58,0.6616,1.0000,0.8483,0.5331,0.4737,0.3005,0.2679,0.000715,65.30
59,0.7055,1.0000,0.9061,0.5193,0.4648,0.2927,0.2638,0.000705,65.63
60,0.5889,1.0000,0.6285,0.5190,0.5364,0.2921,0.2938,0.000695,65.52
61,0.6664,1.0000,0.9183,0.5091,0.5065,0.2880,0.2827,0.000685,65.37
62,0.6190,1.0000,0.7849,0.5115,0.5817,0.2893,0.3200,0.000675,65.69
63,0.6680,1.0000,0.8967,0.5291,0.5067,0.2975,0.2869,0.000665,65.64
64,0.5771,1.0000,0.5546,0.5013,0.5283,0.2876,0.2963,0.000655,65.56
65,0.7101,0.9987,0.9167,0.5057,0.4687,0.2862,0.2618,0.000644,65.44
66,0.7138,1.0000,0.9273,0.4883,0.4457,0.2785,0.2510,0.000634,65.41
67,0.6833,1.0000,0.9096,0.4952,0.5115,0.2813,0.2943,0.000623,65.09
68,0.5823,1.0000,0.6103,0.5193,0.5566,0.2921,0.3114,0.000613,65.25
69,0.6462,1.0000,0.8981,0.5105,0.5127,0.2881,0.2900,0.000602,65.32
70,0.6542,0.9802,0.8547,0.4813,0.4363,0.2749,0.2443,0.000592,65.43
71,0.6665,1.0000,0.9129,0.4966,0.4789,0.2819,0.2708,0.000581,65.43
72,0.6510,1.0000,0.8130,0.5050,0.5319,0.2862,0.2960,0.000570,65.52
73,0.6986,1.0000,0.9318,0.5318,0.4969,0.3001,0.2846,0.000559,65.55
74,0.7301,0.9993,0.9171,0.4961,0.4688,0.2799,0.2727,0.000549,65.37
75,0.7120,1.0000,0.9145,0.4984,0.4458,0.2807,0.2472,0.000538,65.23
76,0.7048,1.0000,0.9303,0.5162,0.4600,0.2913,0.2595,0.000527,65.36
77,0.7020,1.0000,0.8990,0.5166,0.4261,0.2936,0.2335,0.000516,65.30
78,0.7107,1.0000,0.9701,0.5061,0.4254,0.2874,0.2403,0.000505,65.60
79,0.6848,1.0000,0.8777,0.5095,0.4488,0.2878,0.2547,0.000495,65.41
80,0.7045,1.0000,0.9799,0.4594,0.4731,0.2609,0.2623,0.000484,65.46
81,0.7167,1.0000,0.9722,0.4745,0.5112,0.2672,0.2811,0.000473,65.32
82,0.5999,1.0000,0.5864,0.4728,0.4569,0.2679,0.2576,0.000462,65.61
83,0.7084,1.0000,0.9604,0.4783,0.4446,0.2707,0.2507,0.000451,65.45
84,0.7257,1.0000,0.9305,0.4821,0.4218,0.2725,0.2340,0.000441,65.59
85,0.7221,1.0000,0.9066,0.4513,0.4639,0.2574,0.2633,0.000430,65.37
86,0.7030,1.0000,0.9491,0.5027,0.4800,0.2840,0.2619,0.000419,65.62
87,0.7032,1.0000,0.9312,0.4875,0.5296,0.2762,0.2835,0.000408,65.37
88,0.7307,1.0000,0.9799,0.4521,0.4296,0.2546,0.2419,0.000398,65.34
89,0.7466,1.0000,0.9334,0.4665,0.4420,0.2640,0.2415,0.000387,65.61
90,0.6776,1.0000,0.9008,0.4780,0.5515,0.2703,0.3075,0.000377,65.31
91,0.7167,1.0000,0.9564,0.4565,0.4489,0.2575,0.2468,0.000366,65.44
92,0.6996,1.0000,0.9282,0.4717,0.4353,0.2647,0.2436,0.000356,65.38
93,0.7016,1.0000,0.9289,0.4588,0.4691,0.2585,0.2535,0.000345,65.61
94,0.7287,1.0000,0.9303,0.4596,0.4404,0.2591,0.2510,0.000335,65.49
95,0.6141,1.0000,0.7972,0.4450,0.4723,0.2519,0.2615,0.000325,65.33
96,0.7149,1.0000,0.9501,0.4400,0.4187,0.2480,0.2316,0.000315,65.46
97,0.7426,1.0000,0.9388,0.4411,0.3921,0.2488,0.2167,0.000305,65.10
98,0.5417,0.9802,0.4947,0.4538,0.6807,0.2573,0.3724,0.000295,65.65
99,0.6978,1.0000,0.9585,0.4560,0.4541,0.2595,0.2522,0.000285,65.29
100,0.6741,1.0000,0.9079,0.4502,0.4560,0.2558,0.2567,0.000275,65.51
101,0.7477,1.0000,1.0000,0.4408,0.3870,0.2504,0.2117,0.000266,65.71
